ID_Pedido ; Data ; Produto ; Categoria ; Quantidade ; Preco_Unitario ; Receita_Bruta ; Desconto ; Receita_Liquida ; Regiao ; Canal_Venda ; Status_Entrega ; Estado_UF ; Custo_Unitario ; Custo_Total ; Lucro_Liquido ; Margem_Lucro_Porcentagem ; Idade_Cliente ; Genero_Cliente ; Faixa_Etaria ; Valor_Frete ; Dias_Entrega ; Transportadora ; Meio_Pagamento ; Avaliacao_Cliente
2;43423;Nokia G22;Celulares;9;4117;37053;0,15;31495,05;Sudeste;Marketplace;Em trânsito;SP;2140,84;19267,56;12227,49;0,388235294;64;Feminino;50+;122;15;TransFrete;Boleto;3
5;43455;Samsung Galaxy M35;Celulares;5;4445;22225;0;22225;Nordeste;Marketplace;Cancelado;RN;1911,35;9556,75;12668,25;0,57;90;Não Informado;50+;170;0;TransFrete;PIX;1
17;43672;OnePlus 13R;Celulares;6;2212;13272;0,05;12608,4;Sudeste;Online;Entregue;MG;1305,08;7830,48;4777,92;0,378947368;18;Masculino;18-29;116;12;Correios;Boleto;3
29;44244;Motorola Moto G85;Celulares;9;2506;22554;0,1;20298,6;Centro-Oeste;Loja Física;Em trânsito;MT;1303,12;11728,08;8570,52;0,422222222;46;Não Informado;30-49;173;13;TransFrete;PIX;5
30;43992;Google Pixel 11 Pro;Celulares;7;3647;25529;0;25529;Centro-Oeste;Loja Física;Cancelado;DF;1458,8;10211,6;15317,4;0,6;52;Não Informado;50+;169;0;Correios;Cartão de Crédito;1
31;44721;Realme Note 50;Celulares;5;3925;19625;0,15;16681,25;Sul;Online;Cancelado;PR;1962,5;9812,5;6868,75;0,411764706;61;Masculino;50+;82;0;TransFrete;Boleto;5
36;44686;Motorola Moto G34;Celulares;10;2762;27620;0;27620;Sudeste;Marketplace;Entregue;RJ;1381;13810;13810;0,5;45;Masculino;30-49;70;4;TransFrete;Cartão de Crédito;3
55;45154;Motorola Moto G34;Celulares;8;3821;30568;0,15;25982,8;Nordeste;Marketplace;Cancelado;PB;2636,49;21091,92;4890,88;0,188235294;79;Não Informado;50+;36;0;TransFrete;Voucher;5
56;44679;Samsung Galaxy A15;Celulares;7;4281;29967;0,1;26970,3;Norte;Loja Física;Entregue;RR;2268,93;15882,51;11087,79;0,411111111;60;Feminino;50+;30;3;Correios;Cartão de Crédito;3
86;45863;Nokia G22;Celulares;7;2326;16282;0,05;15467,9;Norte;Loja Física;Entregue;AM;1372,34;9606,38;5861,52;0,378947368;46;Feminino;30-49;65;13;LogTech Express;Voucher;1
94;45577;Vivo V40;Celulares;8;3307;26456;0,05;25133,2;Sudeste;Marketplace;Entregue;ES;1355,87;10846,96;14286,24;0,568421053;81;Feminino;50+;72;15;TransFrete;Cartão de Crédito;5
99;44261;Samsung Galaxy S24;Celulares;6;4163;24978;0,15;21231,3;Centro-Oeste;Marketplace;Em trânsito;GO;1914,98;11489,88;9741,42;0,458823529;89;Não Informado;50+;72;2;TransFrete;Cartão de Crédito;3
101;45906;Motorola Moto G34;Celulares;3;4849;14547;0,05;13819,65;Sudeste;Online;Entregue;SP;1988,09;5964,27;7855,38;0,568421053;31;Feminino;30-49;106;15;TransFrete;PIX;3
130;42938;Motorola Moto G54;Celulares;5;3527;17635;0,05;16753,25;Centro-Oeste;Loja Física;Entregue;MT;1692,96;8464,8;8288,45;0,494736842;60;Masculino;50+;67;21;Correios;Voucher;4
143;44217;iPhone SE 4;Celulares;7;4562;31934;0;31934;Nordeste;Loja Física;Entregue;RN;2372,24;16605,68;15328,32;0,48;52;Feminino;50+;167;3;Correios;Boleto;3
145;45633;Infinix Hot 40i;Celulares;4;3677;14708;0,05;13972,6;Norte;Loja Física;Entregue;RR;2573,9;10295,6;3677;0,263157895;20;Feminino;18-29;35;6;TransFrete;PIX;2
146;44452;Motorola Edge 50 Ultra;Celulares;7;4983;34881;0,1;31392,9;Centro-Oeste;Loja Física;Entregue;GO;3089,46;21626,22;9766,68;0,311111111;91;Feminino;50+;139;17;Correios;Boleto;3
158;43078;Honor Magic 6 Pro;Celulares;7;3378;23646;0,05;22463,7;Norte;Online;Entregue;RR;1857,9;13005,3;9458,4;0,421052632;45;Não Informado;30-49;95;19;LogTech Express;Boleto;1
160;45691;OnePlus 13R;Celulares;6;3215;19290;0,1;17361;Nordeste;Marketplace;Em trânsito;RN;1607,5;9645;7716;0,444444444;87;Não Informado;50+;44;19;LogTech Express;Boleto;4
180;43978;Xiaomi Redmi 13C;Celulares;10;1515;15150;0;15150;Sudeste;Loja Física;Entregue;MG;863,55;8635,5;6514,5;0,43;67;Masculino;50+;141;6;Correios;Cartão de Crédito;2
181;43452;Nokia G22;Celulares;5;4030;20150;0,05;19142,5;Sudeste;Loja Física;Em trânsito;RJ;2216,5;11082,5;8060;0,421052632;95;Não Informado;50+;153;12;Correios;Cartão de Crédito;3
182;44795;Motorola Moto G54;Celulares;5;4192;20960;0,1;18864;Nordeste;Marketplace;Entregue;RN;2557,12;12785,6;6078,4;0,322222222;22;Masculino;18-29;46;14;TransFrete;Cartão de Crédito;1
186;43746;Samsung Galaxy A56 5G;Celulares;7;2808;19656;0;19656;Sudeste;Online;Entregue;SP;1740,96;12186,72;7469,28;0,38;23;Não Informado;18-29;81;20;Correios;Boleto;3
188;44934;Xiaomi 14 Ultra;Celulares;6;3505;21030;0,15;17875,5;Norte;Marketplace;Entregue;AM;2138,05;12828,3;5047,2;0,282352941;30;Feminino;30-49;94;13;Correios;Voucher;4
199;44441;Asus ROG Phone 9;Celulares;9;2824;25416;0,05;24145,2;Centro-Oeste;Marketplace;Em trânsito;MS;1863,84;16774,56;7370,64;0,305263158;56;Feminino;50+;124;18;Correios;Voucher;4
200;44312;iPhone 15 Plus;Celulares;5;4195;20975;0,1;18877,5;Nordeste;Online;Entregue;PE;1803,85;9019,25;9858,25;0,522222222;71;Masculino;50+;90;8;Correios;Boleto;2
202;43130;Google Pixel 11 Pro;Celulares;9;4645;41805;0,05;39714,75;Nordeste;Marketplace;Cancelado;RN;2740,55;24664,95;15049,8;0,378947368;88;Masculino;50+;88;0;LogTech Express;PIX;4
206;43028;Samsung Galaxy S26 Ultra;Celulares;5;4720;23600;0;23600;Sudeste;Loja Física;Cancelado;MG;2454,4;12272;11328;0,48;81;Masculino;50+;126;0;Correios;Cartão de Crédito;3
208;44475;Realme 13 Pro+;Celulares;5;2752;13760;0,1;12384;Norte;Marketplace;Entregue;AP;1238,4;6192;6192;0,5;33;Não Informado;30-49;111;8;Correios;PIX;3
209;44926;Google Pixel 11 Pro;Celulares;8;3066;24528;0,15;20848,8;Nordeste;Loja Física;Em trânsito;MA;1257,06;10056,48;10792,32;0,517647059;20;Feminino;18-29;45;3;TransFrete;PIX;1
213;43573;OnePlus 12;Celulares;10;4542;45420;0,05;43149;Sul;Marketplace;Em trânsito;RS;2952,3;29523;13626;0,315789474;49;Não Informado;30-49;66;5;LogTech Express;Boleto;1
227;45963;iPhone 15 Pro Max;Celulares;10;4873;48730;0,1;43857;Nordeste;Loja Física;Em trânsito;SE;2387,77;23877,7;19979,3;0,455555556;35;Não Informado;30-49;42;19;Correios;Cartão de Crédito;4
233;43192;POCO M6 Pro;Celulares;9;2065;18585;0,05;17655,75;Sudeste;Online;Entregue;RJ;1135,75;10221,75;7434;0,421052632;66;Masculino;50+;179;21;Correios;Cartão de Crédito;2
258;45850;Realme Note 50;Celulares;10;1268;12680;0,1;11412;Sul;Marketplace;Em trânsito;RS;583,28;5832,8;5579,2;0,488888889;84;Não Informado;50+;46;18;Correios;Boleto;1
277;45071;Samsung Galaxy S25 FE;Celulares;6;2058;12348;0,1;11113,2;Nordeste;Online;Em trânsito;CE;967,26;5803,56;5309,64;0,477777778;46;Não Informado;30-49;67;10;LogTech Express;Boleto;1
279;43453;iPhone 14 Pro;Celulares;5;4246;21230;0,05;20168,5;Sudeste;Loja Física;Entregue;MG;2929,74;14648,7;5519,8;0,273684211;40;Masculino;30-49;140;21;TransFrete;Boleto;2
286;43993;Samsung Galaxy S26 Ultra;Celulares;9;4563;41067;0,15;34906,95;Nordeste;Marketplace;Entregue;RN;2235,87;20122,83;14784,12;0,423529412;51;Feminino;50+;20;21;TransFrete;Cartão de Crédito;5
304;45676;Nothing Phone (2a);Celulares;6;3323;19938;0;19938;Norte;Online;Entregue;AP;2126,72;12760,32;7177,68;0,36;60;Masculino;50+;75;12;TransFrete;PIX;3
322;43036;Oppo Reno 12 Pro;Celulares;4;3737;14948;0,05;14200,6;Norte;Loja Física;Entregue;AP;2391,68;9566,72;4633,88;0,326315789;83;Não Informado;50+;61;21;LogTech Express;Voucher;5
332;45325;iPhone SE 4;Celulares;7;3991;27937;0;27937;Nordeste;Online;Entregue;MA;2354,69;16482,83;11454,17;0,41;71;Não Informado;50+;122;2;TransFrete;Boleto;4
343;43747;Xiaomi POCO X7 Pro;Celulares;8;4414;35312;0,05;33546,4;Norte;Marketplace;Cancelado;TO;1853,88;14831,04;18715,36;0,557894737;59;Masculino;50+;99;0;TransFrete;Cartão de Crédito;5
355;45720;Asus ROG Phone 9;Celulares;9;2634;23706;0,15;20150,1;Nordeste;Online;Entregue;MA;1369,68;12327,12;7822,98;0,388235294;60;Feminino;50+;128;11;TransFrete;Boleto;2
361;43784;Motorola Moto G34;Celulares;10;3662;36620;0,15;31127;Centro-Oeste;Marketplace;Cancelado;MS;1904,24;19042,4;12084,6;0,388235294;39;Não Informado;30-49;31;0;LogTech Express;PIX;3
365;44607;Motorola Edge 50 Ultra;Celulares;5;3205;16025;0,15;13621,25;Norte;Marketplace;Cancelado;PA;2083,25;10416,25;3205;0,235294118;53;Feminino;50+;159;0;Correios;Cartão de Crédito;3
367;43118;Realme Note 50;Celulares;10;2119;21190;0,1;19071;Nordeste;Marketplace;Em trânsito;CE;1144,26;11442,6;7628,4;0,4;44;Masculino;30-49;74;23;Correios;Cartão de Crédito;2
371;43855;Honor Magic 6 Pro;Celulares;8;4548;36384;0,15;30926,4;Nordeste;Loja Física;Cancelado;AL;2592,36;20738,88;10187,52;0,329411765;92;Não Informado;50+;170;0;TransFrete;Boleto;5
376;43178;Motorola Moto G24;Celulares;8;3822;30576;0;30576;Norte;Marketplace;Entregue;TO;2063,88;16511,04;14064,96;0,46;58;Feminino;50+;121;21;Correios;Voucher;2
