ID_Pedido ; Data ; Produto ; Categoria ; Quantidade ; Preco_Unitario ; Receita_Bruta ; Desconto ; Receita_Liquida ; Regiao ; Canal_Venda ; Status_Entrega ; Estado_UF ; Custo_Unitario ; Custo_Total ; Lucro_Liquido ; Margem_Lucro_Porcentagem ; Idade_Cliente ; Genero_Cliente ; Faixa_Etaria ; Valor_Frete ; Dias_Entrega ; Transportadora ; Meio_Pagamento ; Avaliacao_Cliente
1;45215;Pilha Recarregavel Duracell AAA;Eletrodomésticos & TV;5;755;3775;0,1;3397,5;Centro-Oeste;Marketplace;Entregue;GO;392,6;1963;1434,5;0,422222222;75;Feminino;50+;114;18;LogTech Express;PIX;4
5;43455;Samsung Galaxy M35;Celulares;5;4445;22225;0;22225;Nordeste;Marketplace;Cancelado;RN;1911,35;9556,75;12668,25;0,57;90;Não Informado;50+;170;0;TransFrete;PIX;1
6;45788;Notebook ASUS Zenbook 14 OLED;Computadores;8;4314;34512;0,1;31060,8;Centro-Oeste;Marketplace;Entregue;GO;1768,74;14149,92;16910,88;0,544444444;89;Não Informado;50+;28;4;TransFrete;PIX;3
25;43385;Teclado Mecanico Corsair K70;Acessórios;10;621;6210;0,1;5589;Norte;Loja Física;Entregue;AM;298,08;2980,8;2608,2;0,466666667;74;Não Informado;50+;169;21;TransFrete;PIX;3
29;44244;Motorola Moto G85;Celulares;9;2506;22554;0,1;20298,6;Centro-Oeste;Loja Física;Em trânsito;MT;1303,12;11728,08;8570,52;0,422222222;46;Não Informado;30-49;173;13;TransFrete;PIX;5
43;45994;Monitor Gamer LG UltraGear 24;Computadores;9;1043;9387;0,15;7978,95;Sudeste;Online;Entregue;RJ;542,36;4881,24;3097,71;0,388235294;61;Não Informado;50+;171;25;Correios;PIX;1
44;43131;Smartwatch Samsung Galaxy Watch 7;Eletrodomésticos & TV;8;659;5272;0;5272;Norte;Marketplace;Em trânsito;TO;296,55;2372,4;2899,6;0,55;69;Masculino;50+;109;18;LogTech Express;PIX;3
45;45019;Carregador Portatil Anker PowerCore 10000mAh;Acessórios;6;2566;15396;0,15;13086,6;Norte;Loja Física;Cancelado;TO;1180,36;7082,16;6004,44;0,458823529;42;Não Informado;30-49;49;0;LogTech Express;PIX;2
75;43383;Fone Ambie Sound Earcuffs;Acessórios;8;4785;38280;0,1;34452;Sul;Online;Entregue;SC;3253,8;26030,4;8421,6;0,244444444;84;Feminino;50+;143;4;LogTech Express;PIX;1
82;43000;Fone Bluetooth JBL Tune 520BT;Acessórios;9;1053;9477;0;9477;Sul;Online;Entregue;SC;652,86;5875,74;3601,26;0,38;27;Feminino;18-29;125;24;LogTech Express;PIX;4
98;43205;Fone Baseus Bowie Bowie WM02;Acessórios;8;2218;17744;0,1;15969,6;Nordeste;Online;Entregue;PE;1352,98;10823,84;5145,76;0,322222222;91;Masculino;50+;108;12;LogTech Express;PIX;2
100;43512;Panela de Pressao Eletrica Mondial 5L;Eletrodomésticos & TV;9;889;8001;0,1;7200,9;Sudeste;Online;Cancelado;SP;506,73;4560,57;2640,33;0,366666667;71;Não Informado;50+;29;0;LogTech Express;PIX;2
109;45443;Robo Aspirador de Po Xiaomi Robot Vacuum E10;Eletrodomésticos & TV;9;2979;26811;0,05;25470,45;Centro-Oeste;Marketplace;Em trânsito;DF;1757,61;15818,49;9651,96;0,378947368;38;Feminino;30-49;154;13;TransFrete;PIX;4
112;45459;Fone Bluetooth JBL Tune 520BT;Acessórios;5;3478;17390;0;17390;Nordeste;Online;Em trânsito;CE;2121,58;10607,9;6782,1;0,39;23;Não Informado;18-29;110;11;LogTech Express;PIX;2
133;43633;iPad Pro M4;Computadores;8;4811;38488;0,05;36563,6;Centro-Oeste;Loja Física;Cancelado;MT;2742,27;21938,16;14625,44;0,4;41;Feminino;30-49;19;0;TransFrete;PIX;3
134;43994;Repetidor de Sinal Wi-Fi Xiaomi Pro;Eletrodomésticos & TV;9;4958;44622;0,1;40159,8;Nordeste;Online;Entregue;BA;2528,58;22757,22;17402,58;0,433333333;62;Masculino;50+;40;13;Correios;PIX;5
142;42933;Fone Edifier W820NB Plus;Acessórios;6;4453;26718;0,1;24046,2;Centro-Oeste;Marketplace;Entregue;DF;2538,21;15229,26;8816,94;0,366666667;26;Masculino;18-29;57;11;Correios;PIX;5
155;44220;Samsung Galaxy A07;Celulares;6;1223;7338;0,05;6971,1;Nordeste;Marketplace;Entregue;CE;746,03;4476,18;2494,92;0,357894737;37;Masculino;30-49;153;21;TransFrete;PIX;4
166;45168;Teclado Mecanico Redragon Kumara;Acessórios;9;3671;33039;0,05;31387,05;Sudeste;Online;Cancelado;SP;2386,15;21475,35;9911,7;0,315789474;65;Não Informado;50+;146;0;Correios;PIX;2
192;45021;Camera de Acao DJI Osmo Action 4;Eletrodomésticos & TV;5;228;1140;0,15;969;Norte;Loja Física;Cancelado;RO;111,72;558,6;410,4;0,423529412;82;Masculino;50+;130;0;LogTech Express;PIX;3
198;45775;Notebook Gamer ASUS TUF A15;Computadores;10;3564;35640;0,15;30294;Nordeste;Marketplace;Entregue;MA;1461,24;14612,4;15681,6;0,517647059;71;Masculino;50+;29;4;TransFrete;PIX;3
201;45378;Samsung Galaxy S24;Celulares;5;1533;7665;0;7665;Centro-Oeste;Marketplace;Entregue;DF;858,48;4292,4;3372,6;0,44;72;Masculino;50+;89;3;Correios;PIX;3
202;43130;Google Pixel 11 Pro;Celulares;9;4645;41805;0,05;39714,75;Nordeste;Marketplace;Cancelado;RN;2740,55;24664,95;15049,8;0,378947368;88;Masculino;50+;88;0;LogTech Express;PIX;4
208;44475;Realme 13 Pro+;Celulares;5;2752;13760;0,1;12384;Norte;Marketplace;Entregue;AP;1238,4;6192;6192;0,5;33;Não Informado;30-49;111;8;Correios;PIX;3
209;44926;Google Pixel 11 Pro;Celulares;8;3066;24528;0,15;20848,8;Nordeste;Loja Física;Em trânsito;MA;1257,06;10056,48;10792,32;0,517647059;20;Feminino;18-29;45;3;TransFrete;PIX;1
217;44253;iPad 10ª Geracao;Computadores;10;3446;34460;0,05;32737;Norte;Online;Cancelado;RO;1481,78;14817,8;17919,2;0,547368421;61;Não Informado;50+;133;0;TransFrete;PIX;3
221;43199;Notebook HP 256 G9;Computadores;10;4511;45110;0;45110;Norte;Online;Entregue;RO;2345,72;23457,2;21652,8;0,48;60;Masculino;50+;131;14;TransFrete;PIX;1
226;44283;Fone Lenovo Thinkplus LP40;Acessórios;5;2661;13305;0,1;11974,5;Sudeste;Marketplace;Entregue;ES;1676,43;8382,15;3592,35;0,3;46;Não Informado;30-49;164;13;TransFrete;PIX;5
229;45011;Micro-ondas Electrolux 31L MEO44;Eletrodomésticos & TV;5;2049;10245;0,1;9220,5;Nordeste;Online;Em trânsito;PI;963,03;4815,15;4405,35;0,477777778;18;Feminino;18-29;124;10;LogTech Express;PIX;2
